#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
814,814,0.828125,50,29,1.774952,1,0.693147,5,2.639057,29.99,0
815,815,1.140625,50,29,1.774952,2,1.098612,3.162278,2.484907,30,0
816,816,1.050435,53,27,2.341806,4,1.386294,3.162278,2.197225,29.97,0
817,817,0.737391,53,27,2.341806,4,0.693147,3.741657,1.386294,29.94,0
818,818,0.424348,53,27,2.341806,2,1.791759,3.316625,1.386294,29.95,101
819,819,0.111304,53,27,2.341806,1,2.079442,4.472136,1.386294,29.97,12297
820,820,0.201739,53,27,2.341806,3,1.098612,5.744563,2.197225,29.9,15931
821,821,0.514783,53,27,2.341806,4,1.098612,4.123106,2.70805,29.88,2812
822,822,0.827826,53,27,2.341806,4,0.693147,4.472136,3.401197,29.86,0
823,823,1.14087,53,27,2.341806,4,0.693147,3.162278,2.079442,29.85,0
824,824,1.050435,49,29,2.827314,3,0.693147,5.291503,3.135494,29.84,0
825,825,0.737391,49,29,2.827314,4,1.098612,5.567764,3.135494,29.85,0
826,826,0.424348,49,29,2.827314,2,0.693147,5.830952,2.70805,29.89,75
827,827,0.111304,49,29,2.827314,2,0.693147,6.557439,2.772589,29.92,12944
828,828,0.201739,49,29,2.827314,3,0.693147,7,3.044522,29.87,17309
829,829,0.514783,49,29,2.827314,2,0.693147,6.244998,2.833213,29.85,3618
830,830,0.827826,49,29,2.827314,2,0.693147,5.830952,3.044522,29.89,0
831,831,1.14087,49,29,2.827314,3,0.693147,6.082763,2.397895,29.92,0
832,832,1.054007,45,19,2.174752,2,0.693147,5.656854,2.197225,29.91,0
833,833,0.740418,45,19,2.174752,2,0.693147,4.898979,1.94591,29.93,0
834,834,0.426829,45,19,2.174752,3,0.693147,4.123106,2.079442,29.95,0
835,835,0.11324,45,19,2.174752,4,0.693147,5.09902,2.639057,29.95,738
836,836,0.200348,45,19,2.174752,4,0.693147,4.472136,1.94591,29.89,4194
837,837,0.513937,45,19,2.174752,4,2.079442,3.741657,1.386294,29.83,223
838,838,0.827526,45,19,2.174752,4,1.098612,2.645751,2.197225,29.79,0
839,839,1.141115,45,19,2.174752,3,0.693147,3.316625,2.397895,29.77,0
840,840,1.054007,46,21,2.292535,3,0.693147,2.645751,2.197225,29.75,0
841,841,0.740418,46,21,2.292535,3,0.693147,4.123106,2.079442,29.75,0
842,842,0.426829,46,21,2.292535,4,1.098612,4.472136,2.197225,29.76,0
843,843,0.11324,46,21,2.292535,3,1.098612,4.795832,2.302585,29.81,10192
844,844,0.200348,46,21,2.292535,2,0.693147,5.830952,2.833213,29.79,13049
845,845,0.513937,46,21,2.292535,3,0.693147,6.244998,2.772589,29.79,198
846,846,0.827526,46,21,2.292535,3,0.693147,2.645751,2.197225,29.82,0
847,847,1.141115,46,21,2.292535,2,0.693147,3.316625,1.791759,29.87,0
848,848,1.057592,43,19,2.332144,3,0.693147,4.898979,1.386294,29.89,0
849,849,0.743455,43,19,2.332144,3,0.693147,2.645751,1.386294,29.9,0
850,850,0.429319,43,19,2.332144,4,2.079442,2.645751,2.302585,29.93,0
851,851,0.115183,43,19,2.332144,3,0.693147,3.741657,2.397895,29.99,4935
852,852,0.198953,43,19,2.332144,3,0.693147,5.09902,2.079442,29.97,8729
853,853,0.513089,43,19,2.332144,3,0.693147,4.123106,3.044522,29.99,1599
854,854,0.827225,43,19,2.332144,3,0.693147,4.123106,2.833213,30.02,0
855,855,1.141361,43,19,2.332144,2,0.693147,4.123106,1.94591,30.03,0
856,856,1.057592,43,29,2.24071,1,0.693147,6.082763,2.397895,30.04,0
857,857,0.743455,43,29,2.24071,1,0.693147,6.480741,2.302585,30.05,0
858,858,0.429319,43,29,2.24071,1,0.693147,5.196152,1.386294,30.05,0
859,859,0.115183,43,29,2.24071,0,0.693147,6.324555,1.386294,30.04,13602
860,860,0.198953,43,29,2.24071,1,0.693147,7.483315,1.791759,29.96,22524
861,861,0.513089,43,29,2.24071,1,0.693147,6.403124,2.70805,29.91,6311
862,862,0.827225,43,29,2.24071,0,0.693147,5.385165,2.397895,29.91,0
863,863,1.141361,43,29,2.24071,0,0.693147,5.656854,2.70805,29.92,0
864,864,1.059337,47,20,2.272126,0,0.693147,6.082763,2.079442,29.92,0
865,865,0.745201,47,20,2.272126,0,0.693147,5.91608,1.94591,29.97,0
866,866,0.431065,47,20,2.272126,1,0.693147,4.795832,2.079442,30.05,37
867,867,0.116928,47,20,2.272126,2,0.693147,4.472136,1.94591,30.12,8699
